survey_year,indicator,category,label,value
2022,stunting,Size at birth,Small,26.3
2022,stunting,Size at birth,Average or larger,16.1
2022,stunting,Birth interval,First birth,20.2
2022,stunting,Birth interval,Less than 24 months,17.5
2022,stunting,Birth interval,24-47 months,17.9
2022,stunting,Birth interval,48+ months,12.8
2022,stunting,Mother's nutritional status,Thin (BMI < 18.5),26.7
2022,stunting,Mother's nutritional status,Normal (BMI 18.5-24.9),19.8
2022,stunting,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),12.9
2022,stunting,Region,Western (pre 2022),12.7
2022,stunting,Region,..Western (post 2022),13.5
2022,stunting,Region,..Western North,10.6
2022,stunting,Region,Central,16.5
2022,stunting,Region,Greater Accra,11.4
2022,stunting,Region,Volta (pre 2022),17.1
2022,stunting,Region,..Volta (post 2022),14.4
2022,stunting,Region,..Oti,20.3
2022,stunting,Region,Eastern,10.4
2022,stunting,Region,Ashanti,17.2
2022,stunting,Region,Brong-Ahafo,15.4
2022,stunting,Region,..Ahafo,16.5
2022,stunting,Region,..Bono,17
2022,stunting,Region,..Bono East,13.9
2022,stunting,Region,"Northern, Upper West, Upper East",25.3
2022,stunting,Region,..Northern (pre 2022),28.1
2022,stunting,Region,....Northern(post 2022),29.6
2022,stunting,Region,....Savannah,21
2022,stunting,Region,....Northeast,29.3
2022,stunting,Region,..Upper West,16.5
2022,stunting,Region,..Upper East,21.1
1993,underweight,Sex,Male,24.8
1993,underweight,Sex,Female,22.1
1993,underweight,Age in months,<6,16.2
1993,underweight,Age in months,6-8,20.4
1993,underweight,Age in months,9-11,18.8
1993,underweight,Age in months,12-17,23
1993,underweight,Age in months,18-23,27.7
1993,underweight,Age in months,24-35,28
1993,underweight,Residence,Urban,13.6
1993,underweight,Residence,Rural,23.4
1993,underweight,Education,No education,30.1
1993,underweight,Education,Primary,20.8
1993,underweight,Education,Secondary,6.3
1993,underweight,Education (2 groups),No education or primary,24.5
1993,underweight,Education (2 groups),Secondary or higher,6.4
1993,underweight,Wealth quintile,Lowest,29.3
1993,underweight,Wealth quintile,Second,29
1993,underweight,Wealth quintile,Middle,28.2
1993,underweight,Wealth quintile,Fourth,18
1993,underweight,Wealth quintile,Highest,10.4
1993,underweight,Mother's interview status,Interviewed,23.4
1993,underweight,Size at birth,Very small,43.4
1993,underweight,Size at birth,Small,33.3
1993,underweight,Size at birth,Average or larger,21.6
1993,underweight,Birth interval,First birth,20.4
1993,underweight,Birth interval,Less than 24 months,31.1
1993,underweight,Birth interval,24-47 months,25.2
1993,underweight,Birth interval,48+ months,20.1
1993,underweight,Mother's nutritional status,Thin (BMI < 18.5),36.2
1993,underweight,Mother's nutritional status,Normal (BMI 18.5-24.9),23.5
1993,underweight,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),14.5
1993,underweight,Region,Western (pre 2022),32.5
1993,underweight,Region,Central,18.9
1993,underweight,Region,Greater Accra,13.9
1993,underweight,Region,Volta (pre 2022),16.8
1993,underweight,Region,Eastern,16
1993,underweight,Region,Ashanti,17.6
1993,underweight,Region,Brong-Ahafo,28.1
1993,underweight,Region,"Northern, Upper West, Upper East",36.4
1993,underweight,Region,..Northern (pre 2022),38.5
1993,underweight,Region,..Upper West,39.3
1993,underweight,Region,..Upper East,32.1
1998,underweight,Sex,Male,20.1
1998,underweight,Sex,Female,19.3
1998,underweight,Age in months,<6,8.8
1998,underweight,Age in months,6-8,11.5
1998,underweight,Age in months,9-11,26.3
1998,underweight,Age in months,12-17,23.4
1998,underweight,Age in months,18-23,25.4
1998,underweight,Age in months,24-35,20.3
1998,underweight,Age in months,36-47,19
1998,underweight,Age in months,48-59,21.4
1998,underweight,Residence,Urban,12.3
1998,underweight,Residence,Rural,20
1998,underweight,Education,No education,24.7
1998,underweight,Education,Primary,19.7
1998,underweight,Education,Secondary,15.7
1998,underweight,Education,Higher,2
1998,underweight,Education (2 groups),No education or primary,22.9
1998,underweight,Education (2 groups),Secondary or higher,15.3
1998,underweight,Wealth quintile,Lowest,27.6
1998,underweight,Wealth quintile,Second,21.6
1998,underweight,Wealth quintile,Middle,19.3
1998,underweight,Wealth quintile,Fourth,15.8
1998,underweight,Wealth quintile,Highest,8
1998,underweight,Mother's interview status,Interviewed,19.7
1998,underweight,Size at birth,Very small,40.6
1998,underweight,Size at birth,Small,31.5
1998,underweight,Size at birth,Average or larger,17.8
1998,underweight,Birth interval,First birth,18.3
1998,underweight,Birth interval,Less than 24 months,26
1998,underweight,Birth interval,24-47 months,21
1998,underweight,Birth interval,48+ months,16
1998,underweight,Mother's nutritional status,Thin (BMI < 18.5),27.3
1998,underweight,Mother's nutritional status,Normal (BMI 18.5-24.9),20.5
1998,underweight,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),10.2
1998,underweight,Region,Western (pre 2022),18.5
1998,underweight,Region,Central,21.3
1998,underweight,Region,Greater Accra,8.9
1998,underweight,Region,Volta (pre 2022),19.9
1998,underweight,Region,Eastern,16.6
1998,underweight,Region,Ashanti,20
